epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5168.22,0.4313,0.4742,0.93561,0.96797,0.96426,0.9779,0.91221,0.40677,0.27292,0.90932,0.000494885,0.000494885,0.000494885
43,5291.43,0.43664,0.45626,0.93383,0.98739,0.98157,0.99268,0.92586,0.39815,0.26626,0.9002,0.000486639,0.000486639,0.000486639
44,5414.22,0.42694,0.44764,0.93115,0.9648,0.96386,0.9873,0.92249,0.36513,0.27285,0.891,0.000478392,0.000478392,0.000478392
45,5537.11,0.42336,0.45135,0.91899,0.97791,0.95646,0.98351,0.91603,0.39598,0.29694,0.90822,0.000470145,0.000470145,0.000470145
46,5659.59,0.42186,0.44277,0.92515,0.97421,0.97849,0.98394,0.92386,0.37952,0.25741,0.896,0.000461898,0.000461898,0.000461898
47,5782.05,0.40785,0.43187,0.92294,0.96376,0.96342,0.98388,0.91884,0.37503,0.27861,0.89785,0.000453652,0.000453652,0.000453652
48,5904.53,0.41537,0.43407,0.92777,0.98065,0.97629,0.9874,0.93059,0.34199,0.23934,0.86954,0.000445405,0.000445405,0.000445405
49,6027.14,0.40173,0.42133,0.92669,0.98406,0.97734,0.99112,0.93276,0.34797,0.23418,0.88883,0.000437158,0.000437158,0.000437158
50,6149.74,0.39948,0.42758,0.91706,0.98546,0.95301,0.98377,0.9239,0.37838,0.26706,0.89412,0.000428912,0.000428912,0.000428912
51,6272.16,0.3901,0.40049,0.91113,0.97187,0.97998,0.98621,0.92651,0.37994,0.23866,0.91282,0.000420665,0.000420665,0.000420665
52,6395.2,0.37966,0.39615,0.90904,0.98456,0.97485,0.98785,0.93473,0.33781,0.23277,0.87806,0.000412418,0.000412418,0.000412418
53,6517.73,0.39103,0.40846,0.91448,0.9763,0.96868,0.98244,0.92276,0.3641,0.26756,0.88754,0.000404172,0.000404172,0.000404172
54,6640.05,0.38813,0.39231,0.90792,0.97964,0.97372,0.99171,0.9428,0.32722,0.22279,0.86883,0.000395925,0.000395925,0.000395925
55,6762.66,0.37108,0.3898,0.8997,0.9895,0.98219,0.99399,0.94025,0.35073,0.22625,0.87968,0.000387678,0.000387678,0.000387678
56,6885.13,0.36541,0.39126,0.90495,0.97118,0.97939,0.99145,0.94238,0.31823,0.20955,0.87328,0.000379431,0.000379431,0.000379431
57,7007.57,0.35987,0.36944,0.90108,0.97509,0.97806,0.98632,0.94127,0.32048,0.21792,0.87389,0.000371185,0.000371185,0.000371185
58,7129.98,0.35603,0.3726,0.90109,0.97808,0.99372,0.99433,0.95081,0.31184,0.20364,0.86751,0.000362938,0.000362938,0.000362938
59,7252.52,0.35856,0.36335,0.89506,0.99227,0.99174,0.99461,0.94637,0.29928,0.201,0.85366,0.000354691,0.000354691,0.000354691
60,7374.84,0.36262,0.36698,0.90456,0.99123,0.99269,0.99378,0.94878,0.30007,0.20695,0.8547,0.000346445,0.000346445,0.000346445
61,7497.69,0.34935,0.36082,0.90079,0.97686,0.98272,0.99137,0.94535,0.30085,0.20168,0.85259,0.000338198,0.000338198,0.000338198
62,7620.33,0.3426,0.37115,0.89055,0.97652,0.99422,0.99371,0.94918,0.29956,0.21097,0.85247,0.000329951,0.000329951,0.000329951
63,7742.99,0.33364,0.35743,0.88703,0.98416,0.99102,0.99357,0.9495,0.289,0.20236,0.85268,0.000321705,0.000321705,0.000321705
64,7865.46,0.33251,0.34851,0.88988,0.99218,0.99073,0.99438,0.95162,0.29593,0.19883,0.86118,0.000313458,0.000313458,0.000313458
65,7988,0.34644,0.37139,0.90072,0.99167,0.99386,0.99426,0.95434,0.28024,0.18716,0.84201,0.000305211,0.000305211,0.000305211
66,8110.5,0.33192,0.33493,0.88992,0.98007,0.98836,0.99288,0.95438,0.28541,0.18736,0.84675,0.000296964,0.000296964,0.000296964
67,8232.92,0.32637,0.34386,0.89038,0.98318,0.99782,0.99383,0.95376,0.28101,0.18703,0.84985,0.000288718,0.000288718,0.000288718
68,8355.25,0.32946,0.33998,0.88705,0.98429,0.99253,0.993,0.95949,0.27076,0.1803,0.8429,0.000280471,0.000280471,0.000280471
69,8477.74,0.32579,0.34164,0.88564,0.99165,0.99191,0.99408,0.95736,0.27876,0.18455,0.83985,0.000272224,0.000272224,0.000272224
70,8600.08,0.31291,0.32321,0.88061,0.98272,0.99424,0.99381,0.95298,0.27296,0.18192,0.83674,0.000263978,0.000263978,0.000263978
71,8722.38,0.31635,0.32637,0.88163,0.98776,0.99448,0.99367,0.95915,0.26933,0.1829,0.8393,0.000255731,0.000255731,0.000255731
72,8844.97,0.31014,0.32046,0.87896,0.98631,0.99629,0.99379,0.95974,0.27811,0.18231,0.85373,0.000247484,0.000247484,0.000247484
73,8967.4,0.3007,0.30979,0.87852,0.98974,0.99746,0.99407,0.95839,0.27466,0.17808,0.84633,0.000239238,0.000239238,0.000239238
74,9089.67,0.30501,0.31687,0.88063,0.98914,0.99738,0.99417,0.96179,0.26158,0.17152,0.841,0.000230991,0.000230991,0.000230991
75,9212.02,0.29567,0.2969,0.87674,0.99311,0.9857,0.99373,0.96152,0.25741,0.17384,0.83843,0.000222744,0.000222744,0.000222744
76,9334.37,0.29548,0.29773,0.87619,0.98979,0.98601,0.99392,0.95848,0.25738,0.17054,0.84339,0.000214497,0.000214497,0.000214497
77,9456.71,0.29016,0.29931,0.87343,0.98926,0.98692,0.9937,0.96009,0.25547,0.17926,0.84054,0.000206251,0.000206251,0.000206251
78,9579.66,0.29521,0.29903,0.87099,0.9912,0.9918,0.99478,0.96218,0.25163,0.17738,0.83279,0.000198004,0.000198004,0.000198004
79,9702.11,0.28741,0.29469,0.87526,0.98332,0.99986,0.99392,0.96387,0.2443,0.16622,0.8283,0.000189757,0.000189757,0.000189757
80,9824.92,0.27952,0.29668,0.87052,0.99134,0.9957,0.9947,0.96538,0.25583,0.16453,0.84632,0.000181511,0.000181511,0.000181511
